MatchDay,Date,Time,LeagueJC,HomeTeamJC,AwayTeamJC,CHL_LINE,CHL_H,CHL_L,prob_hi,prob_lo,kelly_hi,kelly_lo,kelly,bet,*
SUN56,2021-09-20,02:45:00,Italian Division 1 [ISA],Juventus,AC Milan,13.5,4.15,1.18,0.18,0.82,-0.08,-0.17,,,
FRI18,2021-09-18,03:00:00,Eng Premier [EPL],Newcastle,Leeds,14.5,4.9,1.13,0.15,0.85,-0.07,-0.31,,,
SAT38,2021-09-18,22:00:00,Eng Premier [EPL],Manchester City,Southampton,12.5,2.68,1.41,0.29,0.71,-0.13,-0.01,,,
SAT39,2021-09-18,22:00:00,Eng Premier [EPL],Burnley,Arsenal,10.5,1.83,1.87,0.48,0.52,-0.15,-0.03,,,
SAT40,2021-09-18,22:00:00,Eng Premier [EPL],Norwich,Watford,13.5,4.4,1.16,0.2,0.8,-0.04,-0.45,,,
SAT79,2021-09-19,00:30:00,Eng Premier [EPL],Aston Villa,Everton,13.5,4.15,1.18,0.19,0.81,-0.06,-0.26,,,
SAT26,2021-09-18,20:00:00,Spanish Division 1 [SFL],Vallecano,Getafe,12.5,6.1,1.08,0.1,0.9,-0.07,-0.39,,,
SAT101,2021-09-19,03:00:00,Spanish Division 1 [SFL],Alaves,Osasuna,12.5,6.1,1.08,0.11,0.89,-0.06,-0.48,,,
SUN15,2021-09-19,20:00:00,Spanish Division 1 [SFL],Mallorca,Villarreal,12.5,5.55,1.1,0.16,0.84,-0.02,-0.81,,,
SUN60,2021-09-20,03:00:00,Spanish Division 1 [SFL],Valencia,Real Madrid,10.5,2.35,1.52,0.34,0.66,-0.14,-0.01,,,
SAT71,2021-09-18,23:00:00,French Division 1 [FFL],Lens,Lille,12.5,4.4,1.16,0.14,0.86,-0.11,-0.05,,,
SAT102,2021-09-19,03:00:00,French Division 1 [FFL],St. Etienne,Bordeaux,9.5,1.9,1.8,0.51,0.49,-0.02,-0.16,,,
SUN20,2021-09-19,21:00:00,French Division 1 [FFL],Troyes,Montpellier,9.5,1.9,1.8,0.45,0.55,-0.15,-0.02,,,
SUN22,2021-09-19,21:00:00,French Division 1 [FFL],Clermont,Brest,11.5,2.7,1.4,0.29,0.71,-0.13,-0.01,,,
SUN23,2021-09-19,21:00:00,French Division 1 [FFL],Reims,Lorient,9.5,1.95,1.75,0.48,0.52,-0.07,-0.12,,,
